Stadtteil,Cost Binned,Cost per sm in Euro
Altstadt,M,2000 to 2400
Angermund,H,2400 to 3000
Benrath,M,2000 to 2400
Bilk,M,2000 to 2400
Carlstadt,VH,3000 to 4700
Derendorf,M,2000 to 2400
DÅsseltal,VH,3000 to 4700
Eller,L,1600 to 2000
Flehe,H,2400 to 3000
Flingern Nord,H,2400 to 3000
Flingern SÅd,H,2400 to 3000
Friedrichstadt,H,2400 to 3000
Garath,L,1600 to 2000
Gerresheim,M,2000 to 2400
Golzheim,VH,3000 to 4700
Grafenberg,L,1600 to 2000
Hafen,VH,3000 to 4700
Hamm,H,2400 to 3000
Hassels,L,1600 to 2000
Heerdt,VH,3000 to 4700
Hellerhof,L,1600 to 2000
Himmelgeist,L,1600 to 2000
Holthausen,L,1600 to 2000
Hubbelrath,H,2400 to 3000
Itter,L,1600 to 2000
Kaiserswerth,M,2000 to 2400
Kalkum,H,2400 to 3000
Knittkuhl,L,1600 to 2000
Lîrick,H,2400 to 3000
Lichtenbroich,L,1600 to 2000
Lierenfeld,L,1600 to 2000
Lohausen,M,2000 to 2400
Ludenberg,H,2400 to 3000
Mîrsenbroich,M,2000 to 2400
Niederkassel,VH,3000 to 4700
Oberbilk,L,1600 to 2000
Oberkassel,VH,3000 to 4700
Pempelfort,H,2400 to 3000
Rath,L,1600 to 2000
Reisholz,L,1600 to 2000
Stadtmitte,M,2000 to 2400
Stockum,H,2400 to 3000
Unterbach,H,2400 to 3000
Unterbilk,H,2400 to 3000
Unterrath,M,2000 to 2400
Urdenbach,L,1600 to 2000
Vennhausen,M,2000 to 2400
Volmerswerth,M,2000 to 2400
Wersten,L,1600 to 2000
Wittlaer,VH,3000 to 4700
